s.no,moduleId,moduleName,errorMessage
438,13659,GP-B2DR-Regular-DC,"Error in zone : 2_438_13659_GP-B2DR-Regular-DC for module [G Profile-Semi Modular Base 2 Drawer- Regular,13659] : Insufficient accessories. Minimum required: 2 got 0"
451,13672,GP-B2S1DR-Regular-DC,"Error in zone : 1_451_13672_GP-B2S1DR-Regular-DC for module [G Profile-Semi Modular Base 2 Shutter 1 drawer -Regular,13672] : Insufficient accessories. Minimum required: 2 got 1"
412,13633,Gola-B3DR-NBB - v1-DC,"Error in zone : 1_412_13633_Gola-B3DR-NBB - v1-DC for module [Semi Modular Gola Base 3 Drawer-No Bottom No Back-Version 1,13633] : Insufficient accessories. Minimum required: 3 got 0"
414,13635,Gola-B1S1DR-NBB - v1-DC,"Error in zone : 3_414_13635_Gola-B1S1DR-NBB - v1-DC for module [Semi Modular Gola Base 1 Shutter 1 drawer-No Bottom No Back-Version 1,13635] : Insufficient accessories. Minimum required: 2 got 0"
415,13636,Gola-B2S1DR-NBB - v1-DC,"Error in zone : 4_415_13636_Gola-B2S1DR-NBB - v1-DC for module [Semi Modular Gola Base 2 Shutter 1 drawer-No Bottom No Back-Version 1,13636] : Insufficient accessories. Minimum required: 2 got 0"
401,13622,B4DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
401,13622,B4DR-Regular-DC,"Error in zone : 1_401_13622_B4DR-Regular-DC for module [Semi modular Base Cabinet 4 Drawer-Regular,13622] : Insufficient accessories. Minimum required: 4 got 0"
408,13629,Gola-B1DR-NBB - v1-DC,"Error in zone : 7_408_13629_Gola-B1DR-NBB - v1-DC for module [Semi Modular Gola Base 1 Drawer-No Bottom No Back-Version 1,13629] : Insufficient accessories. Minimum required: 1 got 0"
410,13631,Gola-B2DR-NBB - v1-DC,"Error in zone : 9_410_13631_Gola-B2DR-NBB - v1-DC for module [Semi Modular Gola Base 2 Drawer-No Bottom No Back-Version 1,13631] : Insufficient accessories. Minimum required: 2 got 0"
411,13632,Gola-B1DR1GT-NBB - v1-DC,"Error in zone : 10_411_13632_Gola-B1DR1GT-NBB - v1-DC for module [Semi Modular Gola Base 1 Drawer Grain Pull Out-No Bottom No Back-Version 1,13632] : Insufficient accessories. Minimum required: 2 got 0"
462,13683,GP-B4DR-Regular-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
462,13683,GP-B4DR-Regular-DC,"Error in zone : 6_462_13683_GP-B4DR-Regular-DC for module [G Profile-Semi modular Base Cabinet 4 Drawer-Regular,13683] : Insufficient accessories. Minimum required: 4 got 0"
478,13699,GP-B2S1DR-NBB-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
482,13703,GP-B3DR-NBB-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
483,13704,GP-B2DR-NBB-DC,"Selected Depth is 400, Which is outside the allowable limits (Min = 540, Max = 580)"
478,13699,GP-B2S1DR-NBB-DC,"Error in zone : 2_478_13699_GP-B2S1DR-NBB-DC for module [G Profile-Semi Modular Base 2 Shutter 1 drawer - No Bottom No Back,13699] : Insufficient accessories. Minimum required: 2 got 0"
482,13703,GP-B3DR-NBB-DC,"Error in zone : 6_482_13703_GP-B3DR-NBB-DC for module [G Profile-Semi Modular Base 3 Drawer- No Bottom No Back,13703] : Insufficient accessories. Minimum required: 3 got 0"
483,13704,GP-B2DR-NBB-DC,"Error in zone : 7_483_13704_GP-B2DR-NBB-DC for module [G Profile-Semi Modular Base 2 Drawer- No Bottom No Back,13704] : Insufficient accessories. Minimum required: 2 got 0"
